STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
CCI Outremont (Dollard / Durcharme),Outremont,45.5200191,-73.6189073,Parc Jeanne Mance (monument sir George-Etienne Cartier),Le Plateau-Mont-Royal,45.51484,-73.584779,1653343971128,1653344885476
Guilbault / Clark,Le Plateau-Mont-Royal,45.514108,-73.57523,St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,45.532265,-73.611063,1653343976128,1653344865947
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.5649368,-73.5555911,Berri / Cherrier,Le Plateau-Mont-Royal,45.519088,-73.569509,1653343979974,1653345831366
St-Joseph / 8e avenue Lachine,Lachine,45.43155,-73.67112,Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.471669,-73.582644,1653343976980,1653345786399
Mackay / de Maisonneuve,Ville-Marie,45.49683,-73.57913,St-Alexandre / Ste-Catherine,Ville-Marie,45.505359,-73.567741,1653343979182,1653344431375
Beaudry / Sherbrooke,Ville-Marie,45.523035,-73.565395,Dorion / Ontario,Ville-Marie,45.526991,-73.558212,1653343978927,1653344291450
Guilbault / Clark,Le Plateau-Mont-Royal,45.514108,-73.57523,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),Ville-Marie,45.5082046,-73.5688144,1653343983220,1653344291754
University / Prince-Arthur,Le Plateau-Mont-Royal,45.507402,-73.578444,St-Dominique / Laurier,Le Plateau-Mont-Royal,45.5236149,-73.5924574,1653343979467,1653344465386
Berri / Cherrier,Le Plateau-Mont-Royal,45.519088,-73.569509,Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.527201,-73.564729,1653343979960,1653344301917
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,45.516091,-73.570129,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1653343982142,1653344474530
